total_area,morris_row_index,identifier,Class
0,1,13,NT
1038.7847574965606,1,14,T
678.7972605481451,1,15,NT
0,1,16,NT
96.0150477145724,1,17,NT
0,10,13,NT
303.49150130851996,10,14,T
308.5497800205526,10,15,NT
0,10,16,NT
33.83120228235434,10,17,NT
0,100,13,NT
564.5100280550009,100,14,T
205.91386910362468,100,15,NT
0,100,16,NT
12.438586645020456,100,17,NT
0,101,13,NT
819.8134191996983,101,14,T
642.6515147718607,101,15,NT
0,101,16,NT
87.97182508592118,101,17,NT
0,102,13,NT
564.5100280550009,102,14,T
205.91386910362468,102,15,NT
0,102,16,NT
12.438586645020456,102,17,NT
0,103,13,NT
564.5100280550009,103,14,T
205.91386910362468,103,15,NT
0,103,16,NT
12.438586645020456,103,17,NT
0,104,13,NT
551.08201415976,104,14,T
223.20001553984963,104,15,NT
0,104,16,NT
23.177323406875818,104,17,NT
0,105,13,NT
657.7233907524392,105,14,T
444.34640507601614,105,15,NT
0,105,16,NT
64.88149799455331,105,17,NT
0,106,13,NT
9510.368727106787,106,14,T
2108.363937993337,106,15,NT
2032.2858933846658,106,16,NT
202.00831871306775,106,17,NT
0,107,13,NT
4847.810363955258,107,14,T
1855.3463849394075,107,15,NT
2203.3218247545806,107,16,NT
185.88149356895008,107,17,NT
0,108,13,NT
4847.810363955258,108,14,T
1855.3463849394075,108,15,NT
2203.3218247545806,108,16,NT
185.88149356895008,108,17,NT
0,109,13,NT
9510.368727106787,109,14,T
2108.363937993337,109,15,NT
2032.2858933846658,109,16,NT
202.00831871306775,109,17,NT
0,11,13,NT
303.49150130851996,11,14,T
308.5497800205526,11,15,NT
0,11,16,NT
33.83120228235434,11,17,NT
0,110,13,NT
4847.810363955258,110,14,T
1855.3463849394075,110,15,NT
2203.3218247545806,110,16,NT
185.88149356895008,110,17,NT
0,111,13,NT
4692.049359845236,111,14,T
1855.3463849393904,111,15,NT
2203.321824754514,111,16,NT
185.88149356895008,111,17,NT
0,112,13,NT
590.15029924046,112,14,T
383.45139541546257,112,15,NT
0,112,16,NT
60.32122928156038,112,17,NT
0,113,13,NT
1536.5484245978719,113,14,T
2108.363937992671,113,15,NT
2346.0315954285356,113,16,NT
192.85060879200273,113,17,NT
0,114,13,NT
1536.5484245969697,114,14,T
2108.3639379933975,114,15,NT
2346.031595428091,114,16,NT
192.85060879200273,114,17,NT
0,115,13,NT
336.9016218748289,115,14,T
444.34640507601614,115,15,NT
0,115,16,NT
50.70330529447496,115,17,NT
0,116,13,NT
748.7590669684968,116,14,T
383.45139541546257,116,15,NT
0,116,16,NT
60.32122928169248,116,17,NT
0,117,13,NT
9510.36872710508,117,14,T
2108.363937992036,117,15,NT
2032.2858933846883,117,16,NT
202.00831871306775,117,17,NT
0,118,13,NT
4692.049359845236,118,14,T
1855.3463849393904,118,15,NT
2203.321824754514,118,16,NT
185.88149356895008,118,17,NT
0,119,13,NT
590.15029924046,119,14,T
383.45139541546257,119,15,NT
0,119,16,NT
60.32122928156038,119,17,NT
0,12,13,NT
661.7122145392576,12,14,T
269.7499678195488,12,15,NT
0,12,16,NT
38.6004081897362,12,17,NT
0,120,13,NT
660.0319662465884,120,14,T
383.45139541546257,120,15,NT
0,120,16,NT
60.32122928169248,120,17,NT
0,121,13,NT
630.3767659721387,121,14,T
289.64801802527563,121,15,NT
0,121,16,NT
38.6004081897362,121,17,NT
0,122,13,NT
1151.0232671338968,122,14,T
1032.5829469671446,122,15,NT
357.22823781839384,122,16,NT
132.45200603525174,122,17,NT
0,123,13,NT
1151.0232671338968,123,14,T
1032.5829469671446,123,15,NT
357.22823781839384,123,16,NT
132.45200603525174,123,17,NT
0,124,13,NT
1055.5593507088074,124,14,T
1125.3954700948843,124,15,NT
357.22823781721735,124,16,NT
153.96397894785852,124,17,NT
0,125,13,NT
748.7590669684968,125,14,T
383.45139541546257,125,15,NT
0,125,16,NT
60.32122928169248,125,17,NT
0,126,13,NT
2265.5403980949905,126,14,T
1639.966197031932,126,15,NT
2032.2858933849266,126,16,NT
185.88149356895008,126,17,NT
0,127,13,NT
1536.5484245978719,127,14,T
2108.363937992671,127,15,NT
2346.0315954285356,127,16,NT
192.85060879200273,127,17,NT
0,128,13,NT
1536.5484245969697,128,14,T
2108.3639379933975,128,15,NT
2346.031595428091,128,16,NT
192.85060879200273,128,17,NT
0,129,13,NT
819.8134191996983,129,14,T
642.6515147718607,129,15,NT
0,129,16,NT
87.97182508592118,129,17,NT
0,13,13,NT
336.9016218748289,13,14,T
444.34640507601614,13,15,NT
0,13,16,NT
50.70330529447496,13,17,NT
0,130,13,NT
564.5100280550009,130,14,T
205.91386910362468,130,15,NT
0,130,16,NT
12.438586645020456,130,17,NT
0,131,13,NT
551.08201415976,131,14,T
223.20001553984963,131,15,NT
0,131,16,NT
23.177323406875818,131,17,NT
0,132,13,NT
551.08201415976,132,14,T
223.20001553984963,132,15,NT
0,132,16,NT
23.177323406875818,132,17,NT
0,133,13,NT
4141.16997161051,133,14,T
1125.395470094721,133,15,NT
357.22823781511266,133,16,NT
143.5605752644543,133,17,NT
0,134,13,NT
4141.16997161092,134,14,T
1125.3954700947615,134,15,NT
357.22823781511266,134,16,NT
132.45200603525174,134,17,NT
0,135,13,NT
3134.573430708939,135,14,T
1002.2426280097474,135,15,NT
689.7741793129886,135,16,NT
132.45200603525174,135,17,NT
0,136,13,NT
301.1361311687756,136,14,T
269.7499678195488,136,15,NT
0,136,16,NT
38.6004081897362,136,17,NT
0,137,13,NT
1038.7847574969874,137,14,T
678.797260548138,137,15,NT
0,137,16,NT
96.0150477145724,137,17,NT
0,138,13,NT
1038.7847574965606,138,14,T
678.7972605481451,138,15,NT
0,138,16,NT
96.0150477145724,138,17,NT
0,139,13,NT
218.0677484155342,139,14,T
223.20001553984963,139,15,NT
0,139,16,NT
12.438586645951778,139,17,NT
0,14,13,NT
748.7590669684968,14,14,T
383.45139541546257,14,15,NT
0,14,16,NT
60.32122928169248,14,17,NT
0,140,13,NT
198.20776150403333,140,14,T
193.3954140005999,140,15,NT
0,140,16,NT
12.438586645951778,140,17,NT
0,141,13,NT
819.8134191996983,141,14,T
642.6515147718607,141,15,NT
0,141,16,NT
87.97182508592118,141,17,NT
0,142,13,NT
564.5100280550009,142,14,T
205.91386910362468,142,15,NT
0,142,16,NT
12.438586645020456,142,17,NT
0,143,13,NT
564.5100280550009,143,14,T
205.91386910362468,143,15,NT
0,143,16,NT
12.438586645020456,143,17,NT
0,144,13,NT
551.08201415976,144,14,T
223.20001553984963,144,15,NT
0,144,16,NT
23.177323406875818,144,17,NT
0,145,13,NT
1055.5593507088074,145,14,T
1125.3954700948843,145,15,NT
357.22823781721735,145,16,NT
153.96397894785852,145,17,NT
0,146,13,NT
1151.0232671338968,146,14,T
1032.5829469671446,146,15,NT
357.22823781839384,146,16,NT
132.45200603525174,146,17,NT
0,147,13,NT
630.3767659721387,147,14,T
289.64801802527563,147,15,NT
0,147,16,NT
38.6004081897362,147,17,NT
0,148,13,NT
630.3767659721387,148,14,T
289.64801802527563,148,15,NT
0,148,16,NT
38.6004081897362,148,17,NT
0,149,13,NT
258.6895302231416,149,14,T
269.7499678195488,149,15,NT
0,149,16,NT
38.6004081897362,149,17,NT
0,15,13,NT
2265.5403981396844,15,14,T
1639.96619703199,15,15,NT
1799.9614926403585,15,16,NT
185.88149356895008,15,17,NT
0,150,13,NT
295.0904744799014,150,14,T
308.5497800205526,150,15,NT
0,150,16,NT
42.37172243571007,150,17,NT
0,151,13,NT
4141.16997161051,151,14,T
1125.395470094721,151,15,NT
357.22823781511266,151,16,NT
143.5605752644543,151,17,NT
0,152,13,NT
4141.16997161092,152,14,T
1125.3954700947615,152,15,NT
357.22823781511266,152,16,NT
132.45200603525174,152,17,NT
0,153,13,NT
295.0904744799014,153,14,T
308.5497800205526,153,15,NT
0,153,16,NT
38.6004081897362,153,17,NT
0,154,13,NT
295.0904744799014,154,14,T
308.5497800205526,154,15,NT
0,154,16,NT
42.37172243571007,154,17,NT
0,155,13,NT
4141.169971610353,155,14,T
1125.3954700951556,155,15,NT
357.2282378186611,155,16,NT
143.5605752644543,155,17,NT
0,156,13,NT
3134.573430708939,156,14,T
1002.2426280097474,156,15,NT
689.7741793129886,156,16,NT
132.45200603525174,156,17,NT
0,157,13,NT
883.3610689392947,157,14,T
565.4304557428535,157,15,NT
0,157,16,NT
87.97182508981842,157,17,NT
0,158,13,NT
883.3610689392947,158,14,T
565.4304557428535,158,15,NT
0,158,16,NT
87.97182508981842,158,17,NT
0,159,13,NT
598.3327661017973,159,14,T
193.39541399873727,159,15,NT
0,159,16,NT
12.438586645951778,159,17,NT
0,16,13,NT
2265.5403980949905,16,14,T
1639.966197031932,16,15,NT
2032.2858933849266,16,16,NT
185.88149356895008,16,17,NT
0,160,13,NT
274.1838408337798,160,14,T
223.2000155404425,160,15,NT
0,160,16,NT
14.927123663079705,160,17,NT
0,161,13,NT
203.92752972421374,161,14,T
193.39541399873727,161,15,NT
0,161,16,NT
12.438586645951778,161,17,NT
0,162,13,NT
218.0677484123972,162,14,T
223.2000155404425,162,15,NT
0,162,16,NT
12.438586645951778,162,17,NT
0,163,13,NT
218.0677484123972,163,14,T
223.2000155404425,163,15,NT
0,163,16,NT
12.438586645951778,163,17,NT
0,164,13,NT
1038.7847574969874,164,14,T
678.797260548138,164,15,NT
0,164,16,NT
96.0150477145724,164,17,NT
0,165,13,NT
793.823006426951,165,14,T
678.797260548138,165,15,NT
0,165,16,NT
104.59461118621098,165,17,NT
0,166,13,NT
819.8134191996983,166,14,T
642.6515147718607,166,15,NT
0,166,16,NT
87.97182508592118,166,17,NT
0,167,13,NT
564.5100280550009,167,14,T
205.91386910362468,167,15,NT
0,167,16,NT
12.438586645020456,167,17,NT
0,168,13,NT
564.5100280550009,168,14,T
205.91386910362468,168,15,NT
0,168,16,NT
12.438586645020456,168,17,NT
0,169,13,NT
4141.16997161051,169,14,T
1125.395470094721,169,15,NT
357.22823781511266,169,16,NT
143.5605752644543,169,17,NT
0,17,13,NT
687.4978777678015,17,14,T
444.3464050909173,17,15,NT
0,17,16,NT
69.39933757939885,17,17,NT
0,170,13,NT
2837.401227297351,170,14,T
1002.2426280097906,170,15,NT
689.7741793119492,170,16,NT
132.45200603525174,170,17,NT
0,171,13,NT
258.6895302231416,171,14,T
269.7499678195488,171,15,NT
0,171,16,NT
38.6004081897362,171,17,NT
0,172,13,NT
301.1361311687756,172,14,T
269.7499678195488,172,15,NT
0,172,16,NT
38.6004081897362,172,17,NT
0,173,13,NT
793.823006426951,173,14,T
678.797260548138,173,15,NT
0,173,16,NT
104.59461118621098,173,17,NT
0,174,13,NT
793.823006426951,174,14,T
678.797260548138,174,15,NT
0,174,16,NT
104.59461118621098,174,17,NT
0,175,13,NT
819.8134191996983,175,14,T
642.6515147718607,175,15,NT
0,175,16,NT
87.97182508592118,175,17,NT
0,176,13,NT
564.5100280550009,176,14,T
205.91386910362468,176,15,NT
0,176,16,NT
12.438586645020456,176,17,NT
0,177,13,NT
2837.401227297351,177,14,T
1002.2426280097906,177,15,NT
689.7741793119492,177,16,NT
132.45200603525174,177,17,NT
0,178,13,NT
3134.573430708939,178,14,T
