Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1776615270.071	  1785.023	0	42279	0	0	Rscript run_model.R 6 3 1200
1	:	1776615270.062	  1793.648	0	41205	0	0	Rscript run_model.R 1 7 880
3	:	1776615270.066	  1835.318	0	50326	0	0	Rscript run_model.R 3 4 400
7	:	1776615270.073	  1835.453	0	41060	0	0	Rscript run_model.R 7 4 1200
5	:	1776615270.069	  1842.539	0	41060	0	0	Rscript run_model.R 5 6 1200
8	:	1776615270.075	  1843.684	0	46243	0	0	Rscript run_model.R 8 4 720
2	:	1776615270.064	  1852.085	0	41247	0	0	Rscript run_model.R 2 4 880
4	:	1776615270.068	  1891.509	0	47539	0	0	Rscript run_model.R 4 6 720
9	:	1776615270.077	  1896.167	0	45613	0	0	Rscript run_model.R 9 7 720
10	:	1776615270.079	  1897.068	0	45613	0	0	Rscript run_model.R 10 7 720
12	:	1776617063.719	  1818.508	0	41060	0	0	Rscript run_model.R 12 4 1200
11	:	1776617055.245	  1833.980	0	41060	0	0	Rscript run_model.R 11 7 1200
14	:	1776617105.534	  1797.017	0	41060	0	0	Rscript run_model.R 14 4 1200
13	:	1776617105.392	  1805.824	0	46244	0	0	Rscript run_model.R 13 4 720
16	:	1776617113.767	  1813.607	0	41060	0	0	Rscript run_model.R 16 4 1200
15	:	1776617112.615	  1830.757	0	41058	0	0	Rscript run_model.R 15 7 1200
17	:	1776617122.155	  1852.065	0	41060	0	0	Rscript run_model.R 17 7 1200
19	:	1776617166.252	  1820.842	0	46853	0	0	Rscript run_model.R 19 5 560
20	:	1776617167.155	  1830.243	0	46853	0	0	Rscript run_model.R 20 2 560
18	:	1776617161.586	  1844.156	0	45614	0	0	Rscript run_model.R 18 7 720
21	:	1776618882.257	  1805.259	0	40448	0	0	Rscript run_model.R 21 2 1040
22	:	1776618889.232	  1820.835	0	40448	0	0	Rscript run_model.R 22 2 1040
23	:	1776618902.560	  1813.100	0	46853	0	0	Rscript run_model.R 23 2 560
25	:	1776618927.383	  1807.780	0	40448	0	0	Rscript run_model.R 25 5 1040
24	:	1776618911.223	  1830.182	0	46853	0	0	Rscript run_model.R 24 5 560
26	:	1776618943.382	  1818.970	0	46853	0	0	Rscript run_model.R 26 5 560
27	:	1776618974.227	  1803.609	0	46853	0	0	Rscript run_model.R 27 2 560
29	:	1776618997.408	  1813.625	0	41246	0	0	Rscript run_model.R 29 3 880
28	:	1776618987.205	  1836.519	0	41247	0	0	Rscript run_model.R 28 6 880
30	:	1776619005.752	  1858.861	0	47817	0	0	Rscript run_model.R 30 3 400
31	:	1776620687.617	  1850.090	0	41247	0	0	Rscript run_model.R 31 2 880
34	:	1776620735.174	  1819.993	0	40448	0	0	Rscript run_model.R 34 3 1040
32	:	1776620710.208	  1869.222	0	41247	0	0	Rscript run_model.R 32 5 880
35	:	1776620741.418	  1846.370	0	40447	0	0	Rscript run_model.R 35 6 1040
36	:	1776620762.364	  1835.184	0	46853	0	0	Rscript run_model.R 36 6 560
37	:	1776620777.849	  1828.352	0	46244	0	0	Rscript run_model.R 37 3 720
33	:	1776620715.671	  1905.736	0	50383	0	0	Rscript run_model.R 33 5 400
39	:	1776620823.734	  1821.759	0	41060	0	0	Rscript run_model.R 39 6 1200
38	:	1776620811.141	  1859.020	0	47539	0	0	Rscript run_model.R 38 6 720
40	:	1776620864.623	  1808.608	0	46853	0	0	Rscript run_model.R 40 5 560
41	:	1776622537.746	  1819.865	0	40448	0	0	Rscript run_model.R 41 5 1040
42	:	1776622555.336	  1818.398	0	40448	0	0	Rscript run_model.R 42 2 1040
43	:	1776622579.442	  1818.823	0	40448	0	0	Rscript run_model.R 43 5 1040
44	:	1776622587.794	  1819.370	0	40448	0	0	Rscript run_model.R 44 2 1040
45	:	1776622597.555	  1819.819	0	46853	0	0	Rscript run_model.R 45 2 560
46	:	1776622606.212	  1838.723	0	41247	0	0	Rscript run_model.R 46 7 880
49	:	1776622670.170	  1806.560	0	40448	0	0	Rscript run_model.R 49 2 1040
50	:	1776622673.253	  1818.708	0	40448	0	0	Rscript run_model.R 50 5 1040
47	:	1776622621.418	  1885.509	0	50383	0	0	Rscript run_model.R 47 7 400
48	:	1776622645.502	  1878.715	0	50383	0	0	Rscript run_model.R 48 4 400
51	:	1776624357.640	  1841.133	0	46853	0	0	Rscript run_model.R 51 5 560
52	:	1776624373.743	  1864.654	0	41060	0	0	Rscript run_model.R 52 7 1200
54	:	1776624407.172	  1840.222	0	46244	0	0	Rscript run_model.R 54 4 720
55	:	1776624417.386	  1832.268	0	46244	0	0	Rscript run_model.R 55 4 720
53	:	1776624398.275	  1879.888	0	45614	0	0	Rscript run_model.R 53 7 720
58	:	1776624491.974	  1813.947	0	40448	0	0	Rscript run_model.R 58 6 1040
57	:	1776624476.743	  1840.464	0	41059	0	0	Rscript run_model.R 57 7 1200
56	:	1776624444.944	  1875.210	0	45613	0	0	Rscript run_model.R 56 7 720
59	:	1776624506.939	  1819.394	0	40448	0	0	Rscript run_model.R 59 3 1040
60	:	1776624524.230	  1854.652	0	46853	0	0	Rscript run_model.R 60 3 560
61	:	1776626198.795	  1864.666	0	42351	0	0	Rscript run_model.R 61 2 1200
62	:	1776626238.408	  1850.805	0	44932	0	0	Rscript run_model.R 62 2 720
64	:	1776626249.661	  1851.831	0	46852	0	0	Rscript run_model.R 64 2 560
65	:	1776626278.322	  1836.713	0	40448	0	0	Rscript run_model.R 65 2 1040
63	:	1776626247.401	  1899.828	0	45608	0	0	Rscript run_model.R 63 5 720
