Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1776950434.280	   279.319	0	39101	0	0	Rscript run_model.R 2 4 880
3	:	1776950434.282	   279.325	0	41661	0	0	Rscript run_model.R 3 4 400
9	:	1776950434.293	   279.970	0	38318	0	0	Rscript run_model.R 9 7 720
10	:	1776950434.294	   281.307	0	38306	0	0	Rscript run_model.R 10 7 720
4	:	1776950434.283	   282.019	0	38318	0	0	Rscript run_model.R 4 6 720
8	:	1776950434.291	   282.019	0	38306	0	0	Rscript run_model.R 8 4 720
1	:	1776950434.278	   282.452	0	37815	0	0	Rscript run_model.R 1 7 880
5	:	1776950434.285	   284.485	0	38496	0	0	Rscript run_model.R 5 6 1200
6	:	1776950434.287	   284.644	0	38496	0	0	Rscript run_model.R 6 3 1200
7	:	1776950434.289	   285.391	0	38496	0	0	Rscript run_model.R 7 4 1200
13	:	1776950714.274	   272.348	0	38294	0	0	Rscript run_model.R 13 4 720
12	:	1776950713.890	   280.724	0	38484	0	0	Rscript run_model.R 12 4 1200
11	:	1776950713.619	   281.223	0	38484	0	0	Rscript run_model.R 11 7 1200
14	:	1776950715.612	   280.858	0	38484	0	0	Rscript run_model.R 14 4 1200
19	:	1776950718.942	   278.430	0	42192	0	0	Rscript run_model.R 19 5 560
20	:	1776950719.694	   278.085	0	42193	0	0	Rscript run_model.R 20 2 560
15	:	1776950716.337	   282.921	0	38508	0	0	Rscript run_model.R 15 7 1200
16	:	1776950716.373	   282.892	0	38496	0	0	Rscript run_model.R 16 4 1200
18	:	1776950718.782	   280.490	0	38294	0	0	Rscript run_model.R 18 7 720
17	:	1776950716.741	   282.640	0	38484	0	0	Rscript run_model.R 17 7 1200
21	:	1776950986.635	   260.319	0	39436	0	0	Rscript run_model.R 21 2 1040
23	:	1776950994.852	   263.776	0	42205	0	0	Rscript run_model.R 23 2 560
22	:	1776950994.626	   264.754	0	39436	0	0	Rscript run_model.R 22 2 1040
30	:	1776950999.392	   261.098	0	40374	0	0	Rscript run_model.R 30 3 400
24	:	1776950996.482	   264.377	0	42193	0	0	Rscript run_model.R 24 5 560
26	:	1776950997.792	   264.401	0	42193	0	0	Rscript run_model.R 26 5 560
25	:	1776950997.384	   265.588	0	39448	0	0	Rscript run_model.R 25 5 1040
28	:	1776950999.317	   264.371	0	37932	0	0	Rscript run_model.R 28 6 880
29	:	1776950999.336	   265.256	0	39089	0	0	Rscript run_model.R 29 3 880
