"x","y","flag"
2609691.24633652,1225803.65125007,1
2609691.66089652,1225803.65125007,1
2609691.86817652,1225803.65125007,1
2609690.62449652,1225803.44397007,1
2609690.83177652,1225803.44397007,1
2609691.03905652,1225803.44397007,1
2609691.24633652,1225803.44397007,1
2609691.45361652,1225803.44397007,1
2609691.66089652,1225803.44397007,1
2609691.86817652,1225803.44397007,1
2609690.62449652,1225803.23669007,1
2609690.83177652,1225803.23669007,1
2609691.03905652,1225803.23669007,1
2609691.24633652,1225803.23669007,1
2609691.45361652,1225803.23669007,1
2609691.66089652,1225803.23669007,1
2609690.83177652,1225803.02941007,1
2609691.03905652,1225803.02941007,1
2609691.24633652,1225803.02941007,1
2609691.45361652,1225803.02941007,1
2609690.41721652,1225802.82213007,1
2609690.62449652,1225802.82213007,1
2609690.83177652,1225802.82213007,1
2609691.03905652,1225802.82213007,1
2609691.24633652,1225802.82213007,1
2609691.45361652,1225802.82213007,1
2609690.20993652,1225802.61485007,1
2609690.41721652,1225802.61485007,1
2609690.62449652,1225802.61485007,1
2609690.83177652,1225802.61485007,1
2609691.03905652,1225802.61485007,1
2609691.24633652,1225802.61485007,1
2609690.00265652,1225802.40757007,1
2609690.20993652,1225802.40757007,1
2609690.41721652,1225802.40757007,1
2609690.62449652,1225802.40757007,1
2609690.83177652,1225802.40757007,1
2609691.03905652,1225802.40757007,1
2609689.58809652,1225802.20029007,1
2609689.79537652,1225802.20029007,1
2609690.00265652,1225802.20029007,1
2609690.20993652,1225802.20029007,1
2609690.41721652,1225802.20029007,1
2609690.62449652,1225802.20029007,1
2609690.83177652,1225802.20029007,1
2609689.58809652,1225801.99301007,1
2609690.00265652,1225801.99301007,1
2609690.20993652,1225801.99301007,1
2609690.41721652,1225801.99301007,1
2609690.62449652,1225801.99301007,1
2609689.58809652,1225801.78573007,1
2609689.79537652,1225801.78573007,1
2609690.00265652,1225801.78573007,1
2609690.20993652,1225801.78573007,1
2609690.41721652,1225801.78573007,1
2609690.62449652,1225801.78573007,1
2609689.17353652,1225801.57845007,1
2609689.38081652,1225801.57845007,1
2609689.58809652,1225801.57845007,1
2609689.79537652,1225801.57845007,1
2609690.00265652,1225801.57845007,1
2609690.20993652,1225801.57845007,1
2609689.17353652,1225801.37117007,1
2609689.38081652,1225801.37117007,1
2609689.58809652,1225801.37117007,1
2609689.79537652,1225801.37117007,1
2609690.00265652,1225801.37117007,1
2609688.55169652,1225801.16389007,1
2609688.75897652,1225801.16389007,1
2609688.96625652,1225801.16389007,1
2609689.17353652,1225801.16389007,1
2609689.38081652,1225801.16389007,1
2609688.55169652,1225800.95661007,1
2609688.75897652,1225800.95661007,1
2609688.96625652,1225800.95661007,1
2609689.17353652,1225800.95661007,1
2609689.38081652,1225800.95661007,1
2609689.58809652,1225800.95661007,1
2609687.72257652,1225800.74933007,1
2609688.13713652,1225800.74933007,1
2609688.55169652,1225800.74933007,1
2609688.75897652,1225800.74933007,1
2609688.96625652,1225800.74933007,1
2609689.17353652,1225800.74933007,1
2609689.38081652,1225800.74933007,1
2609689.58809652,1225800.74933007,1
2609687.51529652,1225800.54205007,1
2609687.72257652,1225800.54205007,1
2609687.92985652,1225800.54205007,1
2609688.13713652,1225800.54205007,1
2609688.34441652,1225800.54205007,1
2609688.55169652,1225800.54205007,1
2609688.75897652,1225800.54205007,1
2609688.96625652,1225800.54205007,1
2609689.17353652,1225800.54205007,1
2609689.38081652,1225800.54205007,1
2609687.30801652,1225800.33477007,1
2609687.51529652,1225800.33477007,1
2609687.72257652,1225800.33477007,1
2609687.92985652,1225800.33477007,1
2609688.13713652,1225800.33477007,1
2609688.34441652,1225800.33477007,1
2609688.55169652,1225800.33477007,1
2609688.75897652,1225800.33477007,1
2609688.96625652,1225800.33477007,1
2609689.17353652,1225800.33477007,1
2609689.38081652,1225800.33477007,1
2609687.10073652,1225800.12749007,1
2609687.51529652,1225800.12749007,1
2609687.72257652,1225800.12749007,1
2609687.92985652,1225800.12749007,1
2609688.13713652,1225800.12749007,1
2609688.34441652,1225800.12749007,1
2609688.55169652,1225800.12749007,1
2609688.75897652,1225800.12749007,1
2609688.96625652,1225800.12749007,1
2609689.17353652,1225800.12749007,1
2609689.38081652,1225800.12749007,1
2609687.30801652,1225799.92021007,1
2609687.51529652,1225799.92021007,1
2609687.72257652,1225799.92021007,1
2609687.92985652,1225799.92021007,1
2609688.13713652,1225799.92021007,1
2609688.34441652,1225799.92021007,1
2609688.55169652,1225799.92021007,1
2609688.75897652,1225799.92021007,1
2609688.96625652,1225799.92021007,1
2609689.17353652,1225799.92021007,1
2609689.38081652,1225799.92021007,1
2609686.89345652,1225799.71293007,1
2609687.10073652,1225799.71293007,1
2609687.30801652,1225799.71293007,1
2609687.51529652,1225799.71293007,1
2609687.72257652,1225799.71293007,1
2609687.92985652,1225799.71293007,1
2609688.13713652,1225799.71293007,1
2609688.34441652,1225799.71293007,1
2609688.55169652,1225799.71293007,1
2609688.75897652,1225799.71293007,1
2609688.96625652,1225799.71293007,1
2609689.17353652,1225799.71293007,1
2609686.89345652,1225799.50565007,1
2609687.10073652,1225799.50565007,1
2609687.30801652,1225799.50565007,1
2609687.51529652,1225799.50565007,1
2609687.72257652,1225799.50565007,1
2609687.92985652,1225799.50565007,1
2609688.13713652,1225799.50565007,1
2609688.34441652,1225799.50565007,1
2609688.55169652,1225799.50565007,1
2609688.75897652,1225799.50565007,1
2609688.96625652,1225799.50565007,1
2609689.17353652,1225799.50565007,1
2609686.68617652,1225799.29837007,1
2609686.89345652,1225799.29837007,1
2609687.10073652,1225799.29837007,1
2609687.30801652,1225799.29837007,1
2609687.51529652,1225799.29837007,1
2609687.72257652,1225799.29837007,1
2609687.92985652,1225799.29837007,1
2609688.13713652,1225799.29837007,1
2609688.34441652,1225799.29837007,1
2609688.55169652,1225799.29837007,1
2609688.75897652,1225799.29837007,1
2609688.96625652,1225799.29837007,1
2609689.17353652,1225799.29837007,1
2609686.47889652,1225799.09109007,1
2609686.68617652,1225799.09109007,1
2609686.89345652,1225799.09109007,1
2609687.10073652,1225799.09109007,1
2609687.30801652,1225799.09109007,1
2609687.51529652,1225799.09109007,1
2609687.72257652,1225799.09109007,1
2609687.92985652,1225799.09109007,1
2609688.13713652,1225799.09109007,1
2609688.34441652,1225799.09109007,1
2609688.55169652,1225799.09109007,1
2609688.75897652,1225799.09109007,1
2609688.96625652,1225799.09109007,1
2609689.17353652,1225799.09109007,1
2609686.27161652,1225798.88381007,1
2609686.47889652,1225798.88381007,1
2609686.68617652,1225798.88381007,1
2609686.89345652,1225798.88381007,1
2609687.10073652,1225798.88381007,1
2609687.30801652,1225798.88381007,1
2609687.51529652,1225798.88381007,1
2609687.72257652,1225798.88381007,1
2609687.92985652,1225798.88381007,1
2609688.13713652,1225798.88381007,1
2609688.34441652,1225798.88381007,1
2609688.55169652,1225798.88381007,1
2609688.75897652,1225798.88381007,1
2609688.96625652,1225798.88381007,1
2609689.17353652,1225798.88381007,1
2609686.27161652,1225798.67653007,1
2609686.47889652,1225798.67653007,1
2609686.68617652,1225798.67653007,1
2609686.89345652,1225798.67653007,1
2609687.10073652,1225798.67653007,1
2609687.30801652,1225798.67653007,1
2609687.51529652,1225798.67653007,1
2609687.72257652,1225798.67653007,1
2609687.92985652,1225798.67653007,1
2609688.13713652,1225798.67653007,1
2609688.34441652,1225798.67653007,1
2609688.55169652,1225798.67653007,1
2609688.75897652,1225798.67653007,1
2609688.96625652,1225798.67653007,1
2609686.06433652,1225798.46925007,1
2609686.27161652,1225798.46925007,1
2609686.47889652,1225798.46925007,1
2609686.68617652,1225798.46925007,1
2609686.89345652,1225798.46925007,1
2609687.10073652,1225798.46925007,1
2609687.30801652,1225798.46925007,1
2609687.51529652,1225798.46925007,1
2609687.72257652,1225798.46925007,1
2609687.92985652,1225798.46925007,1
2609688.13713652,1225798.46925007,1
2609688.34441652,1225798.46925007,1
2609688.55169652,1225798.46925007,1
2609688.75897652,1225798.46925007,1
2609686.06433652,1225798.26197007,1
2609686.27161652,1225798.26197007,1
2609686.47889652,1225798.26197007,1
2609686.68617652,1225798.26197007,1
2609686.89345652,1225798.26197007,1
2609687.10073652,1225798.26197007,1
2609687.30801652,1225798.26197007,1
2609687.51529652,1225798.26197007,1
2609687.72257652,1225798.26197007,1
2609687.92985652,1225798.26197007,1
2609688.13713652,1225798.26197007,1
2609688.34441652,1225798.26197007,1
2609688.55169652,1225798.26197007,1
2609686.06433652,1225798.05469007,1
2609686.27161652,1225798.05469007,1
2609686.47889652,1225798.05469007,1
2609686.68617652,1225798.05469007,1
2609686.89345652,1225798.05469007,1
2609687.10073652,1225798.05469007,1
2609687.30801652,1225798.05469007,1
2609687.51529652,1225798.05469007,1
2609687.72257652,1225798.05469007,1
2609687.92985652,1225798.05469007,1
2609688.13713652,1225798.05469007,1
2609688.34441652,1225798.05469007,1
2609685.64977652,1225797.84741007,1
2609685.85705652,1225797.84741007,1
2609686.06433652,1225797.84741007,1
2609686.27161652,1225797.84741007,1
2609686.47889652,1225797.84741007,1
2609686.68617652,1225797.84741007,1
2609686.89345652,1225797.84741007,1
2609687.10073652,1225797.84741007,1
2609687.30801652,1225797.84741007,1
2609687.51529652,1225797.84741007,1
2609687.72257652,1225797.84741007,1
2609687.92985652,1225797.84741007,1
2609688.13713652,1225797.84741007,1
2609685.85705652,1225797.64013007,1
2609686.06433652,1225797.64013007,1
2609686.27161652,1225797.64013007,1
2609686.47889652,1225797.64013007,1
2609686.68617652,1225797.64013007,1
2609686.89345652,1225797.64013007,1
2609687.10073652,1225797.64013007,1
2609687.30801652,1225797.64013007,1
2609687.51529652,1225797.64013007,1
2609687.72257652,1225797.64013007,1
2609687.92985652,1225797.64013007,1
2609688.13713652,1225797.64013007,1
2609685.64977652,1225797.43285007,1
2609685.85705652,1225797.43285007,1
2609686.06433652,1225797.43285007,1
2609686.27161652,1225797.43285007,1
2609686.47889652,1225797.43285007,1
2609686.68617652,1225797.43285007,1
2609686.89345652,1225797.43285007,1
2609687.10073652,1225797.43285007,1
2609687.30801652,1225797.43285007,1
2609687.51529652,1225797.43285007,1
2609687.72257652,1225797.43285007,1
2609687.92985652,1225797.43285007,1
2609685.64977652,1225797.22557007,1
2609685.85705652,1225797.22557007,1
2609686.06433652,1225797.22557007,1
2609686.27161652,1225797.22557007,1
2609686.47889652,1225797.22557007,1
2609686.68617652,1225797.22557007,1
2609687.30801652,1225797.22557007,1
2609687.51529652,1225797.22557007,1
2609685.85705652,1225797.01829007,1
2609657.66697656,1225792.25085007,1
2609657.87425656,1225792.25085007,1
2609657.45969656,1225792.04357007,1
2609657.66697656,1225792.04357007,1
2609657.87425656,1225792.04357007,1
2609656.21601656,1225790.59261007,1
2609656.21601656,1225790.38533007,1
2609653.31409656,1225789.97077007,1
2609653.52137656,1225789.97077007,1
2609653.72865656,1225789.97077007,1
2609653.93593656,1225789.97077007,1
2609654.14321656,1225789.97077007,1
2609654.35049656,1225789.97077007,1
2609652.89953656,1225789.76349007,1
2609653.10681656,1225789.76349007,1
2609653.31409656,1225789.76349007,1
2609653.52137656,1225789.76349007,1
2609653.72865656,1225789.76349007,1
2609653.93593656,1225789.76349007,1
2609654.14321656,1225789.76349007,1
2609654.35049656,1225789.76349007,1
2609654.55777656,1225789.76349007,1
2609654.76505656,1225789.76349007,1
2609654.97233656,1225789.76349007,1
2609652.69225656,1225789.55621007,1
2609652.89953656,1225789.55621007,1
2609653.10681656,1225789.55621007,1
2609653.31409656,1225789.55621007,1
2609653.52137656,1225789.55621007,1
2609653.72865656,1225789.55621007,1
2609653.93593656,1225789.55621007,1
2609654.14321656,1225789.55621007,1
2609654.35049656,1225789.55621007,1
2609654.55777656,1225789.55621007,1
2609654.76505656,1225789.55621007,1
2609654.97233656,1225789.55621007,1
2609655.17961656,1225789.55621007,1
2609652.69225656,1225789.34893007,1
2609652.89953656,1225789.34893007,1
2609653.10681656,1225789.34893007,1
2609653.31409656,1225789.34893007,1
2609653.52137656,1225789.34893007,1
2609653.72865656,1225789.34893007,1
2609653.93593656,1225789.34893007,1
2609654.14321656,1225789.34893007,1
2609654.35049656,1225789.34893007,1
2609654.55777656,1225789.34893007,1
2609654.76505656,1225789.34893007,1
2609654.97233656,1225789.34893007,1
2609655.17961656,1225789.34893007,1
2609652.89953656,1225789.14165007,1
2609653.10681656,1225789.14165007,1
2609653.31409656,1225789.14165007,1
2609653.52137656,1225789.14165007,1
2609653.72865656,1225789.14165007,1
2609653.93593656,1225789.14165007,1
2609652.89953656,1225788.93437007,1
2609653.10681656,1225788.93437007,1
2609653.31409656,1225788.93437007,1
2609653.52137656,1225788.93437007,1
2609653.72865656,1225788.93437007,1
2609655.59417656,1225788.93437007,1
2609655.80145656,1225788.93437007,1
2609652.89953656,1225788.72709007,1
2609653.10681656,1225788.72709007,1
2609653.31409656,1225788.72709007,1
2609653.52137656,1225788.72709007,1
2609655.80145656,1225788.72709007,1
2609656.00873656,1225788.72709007,1
2609653.10681656,1225788.51981007,1
2609653.31409656,1225788.51981007,1
2609653.52137656,1225788.51981007,1
2609653.52137656,1225787.89797007,1
2609675.90761654,1225786.65429007,1
2609676.11489653,1225786.65429007,1
2609675.70033654,1225786.44701007,1
2609675.90761654,1225786.44701007,1
2609676.11489653,1225786.44701007,1
2609675.28577654,1225786.23973007,1
2609675.49305654,1225786.23973007,1
2609675.70033654,1225786.23973007,1
2609675.90761654,1225786.23973007,1
2609676.11489653,1225786.23973007,1
2609675.28577654,1225786.03245007,1
2609675.49305654,1225786.03245007,1
2609675.70033654,1225786.03245007,1
2609675.90761654,1225786.03245007,1
2609676.11489653,1225786.03245007,1
2609675.28577654,1225785.82517007,1
2609675.49305654,1225785.82517007,1
2609675.70033654,1225785.82517007,1
2609675.07849654,1225785.61789007,1
2609675.28577654,1225785.61789007,1
2609675.49305654,1225785.61789007,1
2609675.07849654,1225785.41061007,1
2609675.28577654,1225785.41061007,1
2609675.49305654,1225785.41061007,1
2609674.87121654,1225785.20333007,1
2609675.07849654,1225785.20333007,1
2609675.28577654,1225785.20333007,1
2609675.49305654,1225785.20333007,1
2609674.66393654,1225784.99605007,1
2609674.87121654,1225784.99605007,1
2609675.07849654,1225784.99605007,1
2609674.45665654,1225784.78877007,1
2609674.66393654,1225784.78877007,1
2609674.87121654,1225784.78877007,1
2609675.07849654,1225784.78877007,1
2609674.45665654,1225784.58149007,1
2609674.66393654,1225784.58149007,1
2609674.87121654,1225784.58149007,1
2609674.24937654,1225784.37421007,1
2609674.45665654,1225784.37421007,1
2609674.66393654,1225784.37421007,1
2609674.24937654,1225784.16693007,1
2609674.45665654,1225784.16693007,1
2609674.66393654,1225784.16693007,1
2609674.24937654,1225783.95965007,1
2609674.45665654,1225783.95965007,1
2609674.04209654,1225783.75237007,1
