Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1781174149.541	    12.902	0	0	0	0	Rscript run_model.R 4 6 720
8	:	1781174149.549	    12.912	0	0	0	0	Rscript run_model.R 8 4 720
3	:	1781174149.539	    12.938	0	0	0	0	Rscript run_model.R 3 4 400
7	:	1781174149.547	    12.934	0	0	0	0	Rscript run_model.R 7 4 1200
5	:	1781174149.542	    12.960	0	0	0	0	Rscript run_model.R 5 6 1200
1	:	1781174149.535	    12.985	0	0	0	0	Rscript run_model.R 1 7 880
6	:	1781174149.545	    13.026	0	0	0	0	Rscript run_model.R 6 3 1200
2	:	1781174149.537	    13.141	0	0	0	0	Rscript run_model.R 2 4 880
9	:	1781174162.450	    13.090	0	0	0	0	Rscript run_model.R 9 7 720
10	:	1781174162.468	    13.075	0	0	0	0	Rscript run_model.R 10 7 720
11	:	1781174162.486	    13.060	0	0	0	0	Rscript run_model.R 11 7 1200
12	:	1781174162.500	    13.049	0	0	0	0	Rscript run_model.R 12 4 1200
13	:	1781174162.508	    13.045	0	0	0	0	Rscript run_model.R 13 4 720
14	:	1781174162.527	    13.028	0	0	0	0	Rscript run_model.R 14 4 1200
15	:	1781174162.578	    12.980	0	0	0	0	Rscript run_model.R 15 7 1200
16	:	1781174162.683	    12.878	0	0	0	0	Rscript run_model.R 16 4 1200
17	:	1781174176.110	    12.766	0	0	0	0	Rscript run_model.R 17 7 1200
18	:	1781174176.397	    12.511	0	0	0	0	Rscript run_model.R 18 7 720
19	:	1781174176.700	    12.279	0	0	0	0	Rscript run_model.R 19 5 560
21	:	1781174176.870	    12.457	0	0	0	0	Rscript run_model.R 21 2 1040
20	:	1781174176.867	    12.656	0	0	0	0	Rscript run_model.R 20 2 560
22	:	1781174176.973	    12.678	0	0	0	0	Rscript run_model.R 22 2 1040
23	:	1781174177.205	    12.450	0	0	0	0	Rscript run_model.R 23 2 560
24	:	1781174177.236	    12.517	0	0	0	0	Rscript run_model.R 24 5 560
25	:	1781174188.881	    12.796	0	0	0	0	Rscript run_model.R 25 5 1040
26	:	1781174188.915	    12.765	0	0	0	0	Rscript run_model.R 26 5 560
27	:	1781174188.985	    12.698	0	0	0	0	Rscript run_model.R 27 2 560
28	:	1781174189.333	    12.351	0	0	0	0	Rscript run_model.R 28 6 880
29	:	1781174189.546	    12.210	0	0	0	0	Rscript run_model.R 29 3 880
31	:	1781174189.669	    12.506	0	0	0	0	Rscript run_model.R 31 2 880
32	:	1781174189.760	    12.417	0	0	0	0	Rscript run_model.R 32 5 880
30	:	1781174189.660	    12.552	0	0	0	0	Rscript run_model.R 30 3 400
34	:	1781174201.756	    12.136	0	0	0	0	Rscript run_model.R 34 3 1040
33	:	1781174201.690	    12.590	0	0	0	0	Rscript run_model.R 33 5 400
35	:	1781174201.762	    12.523	0	0	0	0	Rscript run_model.R 35 6 1040
36	:	1781174201.798	    12.490	0	0	0	0	Rscript run_model.R 36 6 560
37	:	1781174201.820	    12.470	0	0	0	0	Rscript run_model.R 37 3 720
40	:	1781174202.218	    12.120	0	0	0	0	Rscript run_model.R 40 5 560
39	:	1781174202.194	    12.190	0	0	0	0	Rscript run_model.R 39 6 1200
38	:	1781174202.183	    12.280	0	0	0	0	Rscript run_model.R 38 6 720
41	:	1781174213.898	    12.424	0	0	0	0	Rscript run_model.R 41 5 1040
42	:	1781174214.295	    12.276	0	0	0	0	Rscript run_model.R 42 2 1040
43	:	1781174214.334	    12.239	0	0	0	0	Rscript run_model.R 43 5 1040
44	:	1781174214.338	    12.368	0	0	0	0	Rscript run_model.R 44 2 1040
46	:	1781174214.357	    12.375	0	0	0	0	Rscript run_model.R 46 7 880
48	:	1781174214.471	    12.265	0	0	0	0	Rscript run_model.R 48 4 400
47	:	1781174214.390	    12.366	0	0	0	0	Rscript run_model.R 47 7 400
45	:	1781174214.343	    12.513	0	0	0	0	Rscript run_model.R 45 2 560
