Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1781167603.674	    40.056	0	0	0	0	Rscript run_model.R 1 7 1040 1.5
2	:	1781167603.676	    40.058	0	0	0	0	Rscript run_model.R 2 7 560 1.5
3	:	1781167603.678	    40.059	0	0	0	0	Rscript run_model.R 3 4 560 1.5
4	:	1781167603.680	    40.062	0	0	0	0	Rscript run_model.R 4 4 560 3
6	:	1781167603.684	    40.062	0	0	0	0	Rscript run_model.R 6 2 1040 0.5
7	:	1781167603.686	    40.065	0	0	0	0	Rscript run_model.R 7 5 1040 0.5
8	:	1781167603.688	    40.067	0	0	0	0	Rscript run_model.R 8 5 560 0.5
9	:	1781167603.690	    40.067	0	0	0	0	Rscript run_model.R 9 7 880 1
11	:	1781167643.766	    12.621	0	0	0	0	Rscript run_model.R 11 4 880 2.5
12	:	1781167644.240	    12.229	0	0	0	0	Rscript run_model.R 12 4 400 2.5
14	:	1781167644.474	    12.121	0	0	0	0	Rscript run_model.R 14 4 400 2
15	:	1781167644.477	    12.121	0	0	0	0	Rscript run_model.R 15 4 400 0.5
13	:	1781167644.390	    12.224	0	0	0	0	Rscript run_model.R 13 4 880 2
16	:	1781167644.534	    12.164	0	0	0	0	Rscript run_model.R 16 7 400 0.5
18	:	1781167644.594	    12.176	0	0	0	0	Rscript run_model.R 18 2 1200 0.5
17	:	1781167644.577	    12.246	0	0	0	0	Rscript run_model.R 17 2 1200 2
20	:	1781167656.474	    11.230	0	0	0	0	Rscript run_model.R 20 5 720 0.5
19	:	1781167656.392	    11.341	0	0	0	0	Rscript run_model.R 19 5 1200 0.5
23	:	1781167656.621	    11.283	0	0	0	0	Rscript run_model.R 23 7 560 1
22	:	1781167656.614	    11.375	0	0	0	0	Rscript run_model.R 22 7 1040 1
25	:	1781167656.777	    11.416	0	0	0	0	Rscript run_model.R 25 6 720 1
21	:	1781167656.604	    11.617	0	0	0	0	Rscript run_model.R 21 4 1040 1
26	:	1781167656.838	    11.460	0	0	0	0	Rscript run_model.R 26 6 1200 1
24	:	1781167656.704	    11.601	0	0	0	0	Rscript run_model.R 24 7 560 2.5
27	:	1781167667.712	    11.789	0	0	0	0	Rscript run_model.R 27 3 1200 1
28	:	1781167667.738	    11.765	0	0	0	0	Rscript run_model.R 28 3 1200 2.5
29	:	1781167667.912	    11.594	0	0	0	0	Rscript run_model.R 29 3 1040 2
30	:	1781167667.995	    11.513	0	0	0	0	Rscript run_model.R 30 6 1040 2
33	:	1781167668.305	    11.372	0	0	0	0	Rscript run_model.R 33 6 1200 3
34	:	1781167668.322	    11.398	0	0	0	0	Rscript run_model.R 34 3 1200 3
31	:	1781167668.218	    11.526	0	0	0	0	Rscript run_model.R 31 6 1040 0.5
32	:	1781167668.233	    11.513	0	0	0	0	Rscript run_model.R 32 6 560 0.5
36	:	1781167679.516	    11.184	0	0	0	0	Rscript run_model.R 36 3 720 1.5
42	:	1781167679.756	    10.973	0	0	0	0	Rscript run_model.R 42 2 1040 3
40	:	1781167679.725	    11.036	0	0	0	0	Rscript run_model.R 40 3 720 1.5
35	:	1781167679.513	    11.279	0	0	0	0	Rscript run_model.R 35 3 1200 1.5
39	:	1781167679.720	    11.075	0	0	0	0	Rscript run_model.R 39 6 720 1.5
38	:	1781167679.683	    11.168	0	0	0	0	Rscript run_model.R 38 6 1200 1.5
37	:	1781167679.678	    11.233	0	0	0	0	Rscript run_model.R 37 6 1200 3
