Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1778356180.920	   294.779	0	34908	0	0	Rscript run_model.R 2 7 560 1.5
4	:	1778356180.924	   294.825	0	16047	0	0	Rscript run_model.R 4 4 560 3
3	:	1778356180.922	   294.953	0	36753	0	0	Rscript run_model.R 3 4 560 1.5
5	:	1778356180.926	   296.799	0	23851	0	0	Rscript run_model.R 5 2 1040 2
10	:	1778356180.936	   296.798	0	18260	0	0	Rscript run_model.R 10 7 880 2.5
1	:	1778356180.918	   296.875	0	31244	0	0	Rscript run_model.R 1 7 1040 1.5
9	:	1778356180.934	   299.753	0	42551	0	0	Rscript run_model.R 9 7 880 1
8	:	1778356180.932	   304.051	0	54954	0	0	Rscript run_model.R 8 5 560 0.5
7	:	1778356180.930	   305.016	0	51622	0	0	Rscript run_model.R 7 5 1040 0.5
6	:	1778356180.928	   305.355	0	50882	0	0	Rscript run_model.R 6 2 1040 0.5
12	:	1778356475.876	   285.047	0	21915	0	0	Rscript run_model.R 12 4 400 2.5
13	:	1778356475.889	   286.904	0	23789	0	0	Rscript run_model.R 13 4 880 2
14	:	1778356477.747	   285.457	0	27458	0	0	Rscript run_model.R 14 4 400 2
11	:	1778356475.843	   287.646	0	18248	0	0	Rscript run_model.R 11 4 880 2.5
15	:	1778356477.794	   292.133	0	57851	0	0	Rscript run_model.R 15 4 400 0.5
16	:	1778356477.808	   294.491	0	55352	0	0	Rscript run_model.R 16 7 400 0.5
17	:	1778356480.701	   292.552	0	23523	0	0	Rscript run_model.R 17 2 1200 2
18	:	1778356484.995	   299.223	0	54816	0	0	Rscript run_model.R 18 2 1200 0.5
20	:	1778356486.296	   298.546	0	55933	0	0	Rscript run_model.R 20 5 720 0.5
19	:	1778356485.959	   301.625	0	54816	0	0	Rscript run_model.R 19 5 1200 0.5
21	:	1778356760.934	   283.984	0	44333	0	0	Rscript run_model.R 21 4 1040 1
24	:	1778356763.500	   282.793	0	19749	0	0	Rscript run_model.R 24 7 560 2.5
23	:	1778356763.217	   284.354	0	47408	0	0	Rscript run_model.R 23 7 560 1
