Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1777317040.407	  1408.269	0	50558	0	0	Rscript run_model.R 4 6 720
5	:	1777317040.409	  1411.492	0	49309	0	0	Rscript run_model.R 5 6 1200
2	:	1777317040.403	  1419.431	0	50784	0	0	Rscript run_model.R 2 4 880
1	:	1777317040.402	  1426.949	0	51414	0	0	Rscript run_model.R 1 7 880
3	:	1777317040.405	  1434.975	0	56704	0	0	Rscript run_model.R 3 4 400
6	:	1777318448.690	  1150.336	0	50584	0	0	Rscript run_model.R 6 3 1200
7	:	1777318451.916	  1151.647	0	50583	0	0	Rscript run_model.R 7 4 1200
8	:	1777318459.850	  1155.026	0	50558	0	0	Rscript run_model.R 8 4 720
9	:	1777318467.367	  1158.544	0	50558	0	0	Rscript run_model.R 9 7 720
10	:	1777318475.394	  1154.082	0	50558	0	0	Rscript run_model.R 10 7 720
11	:	1777319599.350	  1119.086	0	49309	0	0	Rscript run_model.R 11 7 1200
12	:	1777319603.579	  1119.380	0	50584	0	0	Rscript run_model.R 12 4 1200
13	:	1777319614.892	  1130.713	0	50558	0	0	Rscript run_model.R 13 4 720
14	:	1777319625.928	  1119.689	0	50584	0	0	Rscript run_model.R 14 4 1200
15	:	1777319629.495	  1118.080	0	49309	0	0	Rscript run_model.R 15 7 1200
16	:	1777320718.473	  1142.312	0	50584	0	0	Rscript run_model.R 16 4 1200
17	:	1777320722.975	  1144.188	0	49309	0	0	Rscript run_model.R 17 7 1200
19	:	1777320745.903	  1148.277	0	60039	0	0	Rscript run_model.R 19 5 560
18	:	1777320745.632	  1151.796	0	50558	0	0	Rscript run_model.R 18 7 720
20	:	1777320747.591	  1149.845	0	60039	0	0	Rscript run_model.R 20 2 560
21	:	1777321860.815	  1121.460	0	51908	0	0	Rscript run_model.R 21 2 1040
22	:	1777321867.174	  1125.361	0	51908	0	0	Rscript run_model.R 22 2 1040
23	:	1777321894.197	  1123.312	0	60039	0	0	Rscript run_model.R 23 2 560
25	:	1777321897.588	  1121.888	0	51908	0	0	Rscript run_model.R 25 5 1040
24	:	1777321897.447	  1127.500	0	60039	0	0	Rscript run_model.R 24 5 560
26	:	1777322982.306	  1094.466	0	60039	0	0	Rscript run_model.R 26 5 560
27	:	1777322992.548	  1098.976	0	60039	0	0	Rscript run_model.R 27 2 560
28	:	1777323017.521	  1104.236	0	51419	0	0	Rscript run_model.R 28 6 880
29	:	1777323019.493	  1102.297	0	50783	0	0	Rscript run_model.R 29 3 880
30	:	1777323024.959	  1110.430	0	56689	0	0	Rscript run_model.R 30 3 400
31	:	1777324076.803	  1106.677	0	50784	0	0	Rscript run_model.R 31 2 880
32	:	1777324091.542	  1111.027	0	51417	0	0	Rscript run_model.R 32 5 880
34	:	1777324121.804	  1091.769	0	51909	0	0	Rscript run_model.R 34 3 1040
35	:	1777324135.403	  1093.148	0	51909	0	0	Rscript run_model.R 35 6 1040
33	:	1777324121.769	  1113.631	0	56704	0	0	Rscript run_model.R 33 5 400
36	:	1777325183.508	  1105.689	0	60039	0	0	Rscript run_model.R 36 6 560
37	:	1777325202.584	  1107.141	0	50558	0	0	Rscript run_model.R 37 3 720
38	:	1777325213.584	  1110.100	0	50558	0	0	Rscript run_model.R 38 6 720
39	:	1777325228.562	  1096.694	0	49308	0	0	Rscript run_model.R 39 6 1200
40	:	1777325235.411	  1102.243	0	60039	0	0	Rscript run_model.R 40 5 560
41	:	1777326289.428	  1109.529	0	51909	0	0	Rscript run_model.R 41 5 1040
42	:	1777326309.740	  1114.934	0	51909	0	0	Rscript run_model.R 42 2 1040
43	:	1777326323.699	  1106.794	0	51907	0	0	Rscript run_model.R 43 5 1040
44	:	1777326325.270	  1109.380	0	51909	0	0	Rscript run_model.R 44 2 1040
45	:	1777326337.670	  1109.394	0	60039	0	0	Rscript run_model.R 45 2 560
46	:	1777327398.989	  1144.584	0	51413	0	0	Rscript run_model.R 46 7 880
49	:	1777327434.665	  1121.611	0	51908	0	0	Rscript run_model.R 49 2 1040
50	:	1777327447.331	  1115.171	0	51908	0	0	Rscript run_model.R 50 5 1040
47	:	1777327424.689	  1140.851	0	56704	0	0	Rscript run_model.R 47 7 400
48	:	1777327430.509	  1137.296	0	56704	0	0	Rscript run_model.R 48 4 400
51	:	1777328543.590	  1128.333	0	60037	0	0	Rscript run_model.R 51 5 560
52	:	1777328556.526	  1117.795	0	49309	0	0	Rscript run_model.R 52 7 1200
54	:	1777328565.555	  1128.993	0	50558	0	0	Rscript run_model.R 54 4 720
53	:	1777328562.517	  1133.837	0	50558	0	0	Rscript run_model.R 53 7 720
55	:	1777328567.820	  1130.545	0	50558	0	0	Rscript run_model.R 55 4 720
57	:	1777329674.334	  1125.980	0	49309	0	0	Rscript run_model.R 57 7 1200
56	:	1777329671.954	  1135.779	0	50558	0	0	Rscript run_model.R 56 7 720
58	:	1777329694.565	  1118.812	0	51909	0	0	Rscript run_model.R 58 6 1040
59	:	1777329696.369	  1118.026	0	51908	0	0	Rscript run_model.R 59 3 1040
60	:	1777329698.380	  1123.596	0	60037	0	0	Rscript run_model.R 60 3 560
61	:	1777330800.617	  1119.726	0	50584	0	0	Rscript run_model.R 61 2 1200
62	:	1777330807.748	  1130.146	0	50558	0	0	Rscript run_model.R 62 2 720
64	:	1777330814.411	  1124.223	0	60039	0	0	Rscript run_model.R 64 2 560
63	:	1777330813.394	  1125.339	0	50558	0	0	Rscript run_model.R 63 5 720
65	:	1777330821.993	  1118.806	0	51909	0	0	Rscript run_model.R 65 2 1040
66	:	1777331920.374	  1121.345	0	51909	0	0	Rscript run_model.R 66 5 1040
69	:	1777331938.749	  1123.684	0	51908	0	0	Rscript run_model.R 69 7 1040
68	:	1777331938.664	  1127.326	0	60039	0	0	Rscript run_model.R 68 7 560
67	:	1777331937.910	  1131.001	0	60039	0	0	Rscript run_model.R 67 4 560
70	:	1777331940.817	  1130.552	0	60039	0	0	Rscript run_model.R 70 4 560
71	:	1777333041.746	  1118.623	0	51909	0	0	Rscript run_model.R 71 4 1040
72	:	1777333062.449	  1124.211	0	51909	0	0	Rscript run_model.R 72 7 1040
75	:	1777333071.386	  1133.025	0	50784	0	0	Rscript run_model.R 75 2 880
73	:	1777333066.291	  1142.338	0	56704	0	0	Rscript run_model.R 73 5 400
74	:	1777333068.928	  1144.069	0	56689	0	0	Rscript run_model.R 74 2 400
76	:	1777334160.406	  1115.126	0	50584	0	0	Rscript run_model.R 76 3 1200
77	:	1777334186.675	  1139.105	0	50558	0	0	Rscript run_model.R 77 3 720
79	:	1777334208.645	  1119.151	0	49954	0	0	Rscript run_model.R 79 5 1200
80	:	1777334213.283	  1118.500	0	50584	0	0	Rscript run_model.R 80 2 1200
78	:	1777334204.426	  1132.867	0	50558	0	0	Rscript run_model.R 78 6 720
81	:	1777335275.565	  1120.164	0	50558	0	0	Rscript run_model.R 81 2 720
82	:	1777335325.797	  1133.983	0	50783	0	0	Rscript run_model.R 82 3 880
85	:	1777335337.308	  1123.152	0	50558	0	0	Rscript run_model.R 85 2 720
83	:	1777335327.812	  1140.172	0	56687	0	0	Rscript run_model.R 83 3 400
84	:	1777335331.798	  1138.541	0	56704	0	0	Rscript run_model.R 84 6 400
86	:	1777336395.765	  1108.842	0	50584	0	0	Rscript run_model.R 86 2 1200
87	:	1777336459.797	  1123.128	0	49954	0	0	Rscript run_model.R 87 5 1200
88	:	1777336460.476	  1131.622	0	50784	0	0	Rscript run_model.R 88 2 880
89	:	1777336467.999	  1142.702	0	56689	0	0	Rscript run_model.R 89 2 400
90	:	1777336470.355	  1143.171	0	56704	0	0	Rscript run_model.R 90 5 400
91	:	1777337504.634	  1136.234	0	56703	0	0	Rscript run_model.R 91 7 400
92	:	1777337582.940	  1143.552	0	56704	0	0	Rscript run_model.R 92 4 400
93	:	1777337592.347	  1136.981	0	50784	0	0	Rscript run_model.R 93 4 880
95	:	1777337613.542	  1118.973	0	51909	0	0	Rscript run_model.R 95 4 1040
94	:	1777337610.717	  1125.104	0	51909	0	0	Rscript run_model.R 94 7 1040
96	:	1777338640.902	  1118.821	0	60039	0	0	Rscript run_model.R 96 4 560
99	:	1777338732.530	  1125.052	0	50584	0	0	Rscript run_model.R 99 4 1200
98	:	1777338729.343	  1131.241	0	50558	0	0	Rscript run_model.R 98 4 720
97	:	1777338726.507	  1135.276	0	50558	0	0	Rscript run_model.R 97 7 720
100	:	1777338735.837	  1130.834	0	50557	0	0	Rscript run_model.R 100 2 720
101	:	1777339759.762	  1121.684	0	50557	0	0	Rscript run_model.R 101 5 720
102	:	1777339857.597	  1119.706	0	49952	0	0	Rscript run_model.R 102 5 1200
103	:	1777339860.599	  1142.058	0	56688	0	0	Rscript run_model.R 103 3 400
105	:	1777339866.684	  1137.155	0	51419	0	0	Rscript run_model.R 105 6 880
104	:	1777339861.798	  1142.540	0	56704	0	0	Rscript run_model.R 104 6 400
106	:	1777340881.473	  1130.361	0	50784	0	0	Rscript run_model.R 106 3 880
107	:	1777340977.317	  1128.509	0	51419	0	0	Rscript run_model.R 107 6 880
108	:	1777341002.673	  1144.080	0	56704	0	0	Rscript run_model.R 108 6 400
109	:	1777341003.855	  1144.588	0	56703	0	0	Rscript run_model.R 109 6 400
110	:	1777341004.355	  1147.321	0	56689	0	0	Rscript run_model.R 110 3 400
111	:	1777342011.862	  1120.746	0	50783	0	0	Rscript run_model.R 111 3 880
112	:	1777342105.842	  1135.032	0	51419	0	0	Rscript run_model.R 112 5 880
113	:	1777342146.769	  1135.986	0	50784	0	0	Rscript run_model.R 113 2 880
114	:	1777342148.461	  1140.480	0	56688	0	0	Rscript run_model.R 114 2 400
115	:	1777342151.692	  1142.101	0	56704	0	0	Rscript run_model.R 115 6 400
116	:	1777343132.639	  1116.995	0	51419	0	0	Rscript run_model.R 116 6 880
117	:	1777343240.892	  1127.544	0	50784	0	0	Rscript run_model.R 117 3 880
118	:	1777343282.771	  1125.686	0	60037	0	0	Rscript run_model.R 118 6 560
120	:	1777343293.807	  1114.663	0	51909	0	0	Rscript run_model.R 120 3 1040
119	:	1777343288.957	  1124.769	0	60039	0	0	Rscript run_model.R 119 3 560
121	:	1777344249.668	  1110.309	0	51908	0	0	Rscript run_model.R 121 4 1040
122	:	1777344368.452	  1111.843	0	51908	0	0	Rscript run_model.R 122 7 1040
123	:	1777344408.485	  1128.508	0	60039	0	0	Rscript run_model.R 123 7 560
124	:	1777344408.761	  1138.175	0	56689	0	0	Rscript run_model.R 124 2 400
125	:	1777344413.742	  1140.690	0	56702	0	0	Rscript run_model.R 125 5 400
126	:	1777345360.298	  1118.355	0	51419	0	0	Rscript run_model.R 126 5 880
127	:	1777345480.311	  1120.312	0	51419	0	0	Rscript run_model.R 127 5 880
130	:	1777345554.447	  1116.273	0	50583	0	0	Rscript run_model.R 130 2 1200
128	:	1777345537.286	  1139.226	0	56703	0	0	Rscript run_model.R 128 5 400
129	:	1777345546.952	  1133.621	0	56689	0	0	Rscript run_model.R 129 2 400
131	:	1777346478.685	  1043.038	0	49953	0	0	Rscript run_model.R 131 5 1200
132	:	1777346600.638	  1043.069	0	50558	0	0	Rscript run_model.R 132 5 720
