Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1781177893.071	   168.260	0	4741	1	0	Rscript run_model.R 1 7 1040 1.5
2	:	1781177893.073	   168.263	0	8421	1	0	Rscript run_model.R 2 7 560 1.5
3	:	1781177893.075	   168.266	0	8421	1	0	Rscript run_model.R 3 4 560 1.5
5	:	1781177893.079	   168.266	0	4741	1	0	Rscript run_model.R 5 2 1040 2
4	:	1781177893.077	   168.924	0	8421	1	0	Rscript run_model.R 4 4 560 3
7	:	1781178061.624	   166.883	0	4741	1	0	Rscript run_model.R 7 5 1040 0.5
6	:	1781178061.353	   167.509	0	4741	1	0	Rscript run_model.R 6 2 1040 0.5
9	:	1781178061.859	   167.008	0	5541	1	0	Rscript run_model.R 9 7 880 1
10	:	1781178062.258	   167.092	0	5541	1	0	Rscript run_model.R 10 7 880 2.5
8	:	1781178061.776	   167.657	0	8421	1	0	Rscript run_model.R 8 5 560 0.5
