Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1778484476.351	    14.092	0	0	0	0	Rscript run_model.R 1 7 1040 1.5
2	:	1778484476.353	    14.095	0	0	0	0	Rscript run_model.R 2 7 560 1.5
3	:	1778484476.355	    14.095	0	0	0	0	Rscript run_model.R 3 4 560 1.5
4	:	1778484476.357	    14.096	0	0	0	0	Rscript run_model.R 4 4 560 3
5	:	1778484476.359	    14.098	0	0	0	0	Rscript run_model.R 5 2 1040 2
6	:	1778484490.993	    13.647	0	0	0	0	Rscript run_model.R 6 2 1040 0.5
7	:	1778484490.997	    13.645	0	0	0	0	Rscript run_model.R 7 5 1040 0.5
8	:	1778484491.538	    13.108	0	0	0	0	Rscript run_model.R 8 5 560 0.5
9	:	1778484491.701	    12.949	0	0	0	0	Rscript run_model.R 9 7 880 1
10	:	1778484491.705	    13.012	0	0	0	0	Rscript run_model.R 10 7 880 2.5
11	:	1778484504.657	    13.599	0	0	0	0	Rscript run_model.R 11 4 880 2.5
12	:	1778484504.717	    13.543	0	0	0	0	Rscript run_model.R 12 4 400 2.5
15	:	1778484504.786	    13.477	0	0	0	0	Rscript run_model.R 15 4 400 0.5
13	:	1778484504.723	    13.601	0	0	0	0	Rscript run_model.R 13 4 880 2
14	:	1778484504.762	    13.687	0	0	0	0	Rscript run_model.R 14 4 400 2
16	:	1778484518.270	    13.901	0	0	0	0	Rscript run_model.R 16 7 400 0.5
17	:	1778484518.325	    14.092	0	0	0	0	Rscript run_model.R 17 2 1200 2
18	:	1778484518.331	    14.089	0	0	0	0	Rscript run_model.R 18 2 1200 0.5
20	:	1778484518.456	    13.967	0	0	0	0	Rscript run_model.R 20 5 720 0.5
21	:	1778484532.430	    13.329	0	0	0	0	Rscript run_model.R 21 4 1040 1
22	:	1778484532.695	    13.217	0	0	0	0	Rscript run_model.R 22 7 1040 1
23	:	1778484532.844	    13.457	0	0	0	0	Rscript run_model.R 23 7 560 1
24	:	1778484532.926	    13.378	0	0	0	0	Rscript run_model.R 24 7 560 2.5
25	:	1778484545.766	    14.095	0	0	0	0	Rscript run_model.R 25 6 720 1
26	:	1778484545.919	    13.944	0	0	0	0	Rscript run_model.R 26 6 1200 1
27	:	1778484546.312	    13.553	0	0	0	0	Rscript run_model.R 27 3 1200 1
28	:	1778484546.338	    13.529	0	0	0	0	Rscript run_model.R 28 3 1200 2.5
29	:	1778484559.875	    13.273	0	0	0	0	Rscript run_model.R 29 3 1040 2
30	:	1778484560.378	    13.032	0	0	0	0	Rscript run_model.R 30 6 1040 2
31	:	1778484560.526	    12.989	0	0	0	0	Rscript run_model.R 31 6 1040 0.5
32	:	1778484560.621	    12.896	0	0	0	0	Rscript run_model.R 32 6 560 0.5
35	:	1778484573.523	    13.209	0	0	0	0	Rscript run_model.R 35 3 1200 1.5
33	:	1778484573.349	    13.395	0	0	0	0	Rscript run_model.R 33 6 1200 3
36	:	1778484573.549	    13.220	0	0	0	0	Rscript run_model.R 36 3 720 1.5
34	:	1778484573.416	    13.390	0	0	0	0	Rscript run_model.R 34 3 1200 3
40	:	1778484586.812	    13.641	0	0	0	0	Rscript run_model.R 40 3 720 1.5
39	:	1778484586.776	    13.680	0	0	0	0	Rscript run_model.R 39 6 720 1.5
37	:	1778484586.739	    13.771	0	0	0	0	Rscript run_model.R 37 6 1200 3
38	:	1778484586.751	    13.763	0	0	0	0	Rscript run_model.R 38 6 1200 1.5
41	:	1778484600.462	    13.606	0	0	0	0	Rscript run_model.R 41 2 1040 1.5
42	:	1778484600.511	    13.785	0	0	0	0	Rscript run_model.R 42 2 1040 3
43	:	1778484600.520	    13.779	0	0	0	0	Rscript run_model.R 43 5 1040 3
44	:	1778484600.560	    13.741	0	0	0	0	Rscript run_model.R 44 5 560 3
46	:	1778484614.578	    12.947	0	0	0	0	Rscript run_model.R 46 6 1200 1
45	:	1778484614.307	    13.271	0	0	0	0	Rscript run_model.R 45 3 1200 1
47	:	1778484614.729	    12.905	0	0	0	0	Rscript run_model.R 47 6 1200 2.5
48	:	1778484614.813	    12.825	0	0	0	0	Rscript run_model.R 48 6 720 2.5
51	:	1778484627.644	    13.118	0	0	0	0	Rscript run_model.R 51 4 1040 2
49	:	1778484627.532	    13.281	0	0	0	0	Rscript run_model.R 49 7 1040 0.5
50	:	1778484627.585	    13.231	0	0	0	0	Rscript run_model.R 50 7 1040 2
52	:	1778484627.668	    13.151	0	0	0	0	Rscript run_model.R 52 4 560 2
54	:	1778484640.826	    13.085	0	0	0	0	Rscript run_model.R 54 2 560 2
53	:	1778484640.770	    13.174	0	0	0	0	Rscript run_model.R 53 5 560 2
55	:	1778484640.902	    13.274	0	0	0	0	Rscript run_model.R 55 2 1040 2
56	:	1778484640.905	    13.273	0	0	0	0	Rscript run_model.R 56 2 1040 0.5
57	:	1778484653.918	    13.410	0	0	0	0	Rscript run_model.R 57 6 880 2
58	:	1778484653.951	    13.380	0	0	0	0	Rscript run_model.R 58 3 880 2
59	:	1778484654.185	    13.149	0	0	0	0	Rscript run_model.R 59 3 400 2
60	:	1778484654.209	    13.127	0	0	0	0	Rscript run_model.R 60 3 400 0.5
61	:	1778484667.343	    13.845	0	0	0	0	Rscript run_model.R 61 2 1200 1.5
62	:	1778484667.607	    13.812	0	0	0	0	Rscript run_model.R 62 2 720 1.5
63	:	1778484667.755	    13.667	0	0	0	0	Rscript run_model.R 63 5 720 1.5
64	:	1778484667.837	    13.589	0	0	0	0	Rscript run_model.R 64 5 720 3
65	:	1778484681.432	    13.605	0	0	0	0	Rscript run_model.R 65 7 1200 2.5
66	:	1778484681.694	    13.576	0	0	0	0	Rscript run_model.R 66 7 720 2.5
67	:	1778484681.840	    13.434	0	0	0	0	Rscript run_model.R 67 7 720 1
68	:	1778484681.921	    13.355	0	0	0	0	Rscript run_model.R 68 4 720 1
71	:	1778484695.688	    12.304	0	0	0	0	Rscript run_model.R 71 4 1200 1.5
69	:	1778484695.283	    12.980	0	0	0	0	Rscript run_model.R 69 7 720 1.5
70	:	1778484695.543	    12.723	0	0	0	0	Rscript run_model.R 70 4 720 1.5
72	:	1778484695.768	    12.502	0	0	0	0	Rscript run_model.R 72 4 1200 3
73	:	1778484707.998	    12.808	0	0	0	0	Rscript run_model.R 73 4 1200 1
76	:	1778484708.352	    12.526	0	0	0	0	Rscript run_model.R 76 7 720 2.5
75	:	1778484708.348	    12.579	0	0	0	0	Rscript run_model.R 75 7 720 1
74	:	1778484708.276	    12.657	0	0	0	0	Rscript run_model.R 74 7 1200 1
77	:	1778484720.812	    13.473	0	0	0	0	Rscript run_model.R 77 6 720 1
78	:	1778484720.884	    13.404	0	0	0	0	Rscript run_model.R 78 3 720 1
79	:	1778484720.934	    13.358	0	0	0	0	Rscript run_model.R 79 3 1200 1
80	:	1778484720.940	    13.353	0	0	0	0	Rscript run_model.R 80 3 1200 2.5
81	:	1778484734.299	    12.953	0	0	0	0	Rscript run_model.R 81 3 560 2
84	:	1778484734.801	    12.641	0	0	0	0	Rscript run_model.R 84 6 1040 0.5
82	:	1778484734.569	    12.936	0	0	0	0	Rscript run_model.R 82 6 560 2
83	:	1778484734.718	    12.867	0	0	0	0	Rscript run_model.R 83 6 1040 2
85	:	1778484747.258	    13.767	0	0	0	0	Rscript run_model.R 85 5 560 1
86	:	1778484747.449	    13.778	0	0	0	0	Rscript run_model.R 86 5 1040 1
87	:	1778484747.510	    13.720	0	0	0	0	Rscript run_model.R 87 2 1040 1
88	:	1778484747.591	    13.641	0	0	0	0	Rscript run_model.R 88 2 1040 2.5
89	:	1778484761.238	    12.962	0	0	0	0	Rscript run_model.R 89 2 1200 1
90	:	1778484761.500	    12.703	0	0	0	0	Rscript run_model.R 90 2 1200 2.5
91	:	1778484761.646	    13.011	0	0	0	0	Rscript run_model.R 91 5 1200 2.5
92	:	1778484761.728	    12.988	0	0	0	0	Rscript run_model.R 92 5 720 2.5
93	:	1778484774.209	    13.096	0	0	0	0	Rscript run_model.R 93 6 400 2
95	:	1778484774.664	    12.644	0	0	0	0	Rscript run_model.R 95 3 400 0.5
96	:	1778484774.722	    12.590	0	0	0	0	Rscript run_model.R 96 3 880 0.5
94	:	1778484774.469	    12.876	0	0	0	0	Rscript run_model.R 94 6 400 0.5
97	:	1778484787.317	    13.264	0	0	0	0	Rscript run_model.R 97 5 1200 1.5
